instance family sat glasgowdegreenorestartsnonogoods glasgowantinorestartsnonogoods glasgowrandomnorestartsnonogoods glasgowbiasednorestartsnonogoods glasgowdegreenorestartsnonogoodsdds glasgowrandom glasgowbiased glasgowbiasednonogoods glasgowbiasedconstant10000threads36v2 glasgowbiasedconstant10000triggeredthreads36v2 glasgowbiasedthreads36v2
si2_b09_m200.05 3 1 3 3 3 3 3 3 3 3 12 6 14
si2_b09_m200.00 3 1 3 3 3 3 3 3 3 3 14 11 17
si2_b09_m200.02 3 1 4 4 4 4 4 4 4 4 14 11 16
si2_b09_m200.03 3 1 3 3 3 3 3 3 3 3 11 8 11
si2_b09_m200.04 3 1 3 3 3 3 3 3 3 3 6 7 11
si2_b09_m200.09 3 1 3 3 3 3 3 3 3 3 11 13 10
si2_b09_m200.07 3 1 3 3 3 3 3 3 3 3 8 12 7
si6_r01_m600.02 7 1 8806 392803 239599 8900 2265 267990 16624 114670 309571 291361 89170
si6_r01_m600.06 7 1 11 535090 162117 11874 189 7746 674 674 1617 1591 938
si6_r01_m600.09 7 1 53060 218411 105993 74190 98259 80792 45476 265982 337883 529160 20075
si6_r01_m600.08 7 1 1131070 1653490 2178715 1397780 NaN 1472430 1011567 NaN 2628477 2705361 2221801
si6_r01_m600.05 7 1 783 475084 187077 9792 3503 35584 2743 4868 13396 13339 12099
si6_r01_m600.07 7 1 49856 912652 612732 54710 49909 401581 61397 580215 436228 388651 270240
si6_r01_m600.03 7 1 12157 275396 110788 15860 6329 52889 14877 7235 150054 143472 68362
si6_r01_m600.00 7 1 4832 51414 11014 5131 35054 43238 7244 5179 46558 34436 31254
si6_r01_m600.01 7 1 5878 4726558 4095754 5416 376474 1957717 5268 18762 83967 84846 42896
si6_r01_m600.04 7 1 211954 2946232 930970 145268 105377 1670782 188191 1526888 716001 1366869 283462
si2_b06_m200.02 3 1 3 3 3 3 3 3 3 3 10 6 7
si2_b06_m200.00 3 1 3 3 3 3 3 3 3 3 11 10 7
si2_b06_m200.01 3 1 3 3 3 3 3 3 3 3 4 11 10
si2_b06_m200.06 3 1 3 3 3 3 3 3 3 3 8 13 12
si2_b06_m200.09 3 1 3 3 3 3 3 3 3 3 7 13 7
si2_b06_m200.07 3 1 3 3 3 3 3 3 3 3 9 11 11
si2_b06_m200.04 3 1 3 3 3 3 3 3 3 3 9 9 9
si2_b06_m200.08 3 1 3 3 3 3 3 3 3 3 8 9 5
